acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.19,-0.03,0.95,-1.47,-0.41,-1.36,31.12
0.19,-0.05,0.98,-1.24,-0.43,-1.51,31.17
0.19,-0.04,0.98,-0.46,-0.37,0.79,31.12
0.19,-0.03,0.98,-2.66,1.28,1.54,31.21
0.19,-0.02,0.97,-5.73,3.08,1.28,31.17
0.19,-0.02,0.95,-5.66,3.56,1.74,31.12
0.18,-0.02,0.95,-3.97,1.62,1.73,31.02
0.19,-0.01,0.95,-1.57,-1.28,1.27,31.17
0.2,-0.01,0.96,0.09,-3.36,1.04,31.12
0.2,-0.01,0.97,0.63,-2.5,1.36,31.12
0.2,-0.0,0.98,-0.14,-0.84,2.21,31.12
0.21,-0.0,0.97,-2.98,1.36,1.02,31.17
0.21,-0.01,1.01,-3.4,2.29,0.15,31.21
0.2,0.0,0.98,-0.31,3.25,1.51,31.07
0.2,-0.01,0.96,2.11,3.05,0.56,31.17
0.19,-0.01,0.97,-0.5,1.66,-0.14,31.21
0.2,-0.03,0.98,-2.76,1.5,-0.72,31.17
0.19,0.0,0.97,-3.86,3.97,0.78,31.17
0.19,-0.01,0.94,-3.86,3.77,0.35,31.12
0.2,-0.03,0.95,-6.34,2.14,0.46,31.17
0.2,-0.03,0.94,-4.9,-0.12,0.4,31.07
0.2,-0.03,0.97,0.66,-0.26,0.35,31.12
0.21,-0.0,0.97,4.5,-0.05,1.53,31.21
0.2,-0.02,0.96,1.68,-0.7,0.93,31.17
0.2,-0.02,0.97,-2.73,0.05,-0.78,31.12
0.2,-0.01,0.97,-0.49,1.62,-0.18,31.07
0.21,0.0,0.97,-0.26,3.08,0.35,31.17
0.2,-0.01,0.94,-2.35,1.82,-0.9,31.21
0.2,-0.01,0.95,-4.43,0.87,-1.79,31.17
0.2,-0.03,0.94,-1.51,0.63,-2.12,31.07
0.19,-0.04,0.97,1.88,-0.14,-1.83,31.21
0.2,-0.03,0.99,2.7,-0.81,-0.53,31.17
0.19,-0.06,0.97,3.18,-0.55,0.52,31.17
0.19,-0.03,0.96,2.29,0.87,0.9,31.12
0.19,-0.03,0.96,3.01,0.44,1.77,31.12
0.2,-0.03,0.95,2.35,-0.6,2.26,31.17
0.2,-0.02,0.94,2.76,-2.15,1.82,31.12
0.2,-0.01,0.95,2.09,-1.69,1.37,31.17
0.19,-0.02,0.96,2.43,-1.89,0.98,31.07
0.22,0.01,0.97,-2.06,0.15,2.52,31.12
0.2,-0.03,0.97,-4.76,2.41,2.12,31.17
0.2,-0.03,0.99,-5.54,5.36,2.35,31.17
0.2,-0.02,0.96,-3.68,5.21,2.11,31.12
0.2,-0.02,0.94,-2.4,3.24,1.66,31.17
0.2,-0.03,0.94,-0.78,-0.82,1.08,31.07
0.2,-0.03,0.95,0.27,-1.82,1.08,31.12
0.2,-0.01,0.96,0.18,-0.31,1.63,31.21
0.2,-0.01,0.94,-3.68,1.91,1.97,31.17
0.2,-0.02,0.95,-5.88,2.52,1.48,31.21
0.2,-0.03,0.95,-3.07,1.37,1.54,31.17
0.19,-0.04,0.96,1.82,-0.9,1.73,31.17
0.2,-0.02,0.96,2.58,-2.03,1.19,31.12
0.2,-0.02,0.99,-0.93,-1.04,2.2,31.17
0.21,-0.03,0.99,-3.62,1.33,1.24,31.07
0.21,-0.03,0.98,-3.31,2.67,1.16,31.12
0.2,-0.04,0.97,-0.87,1.47,1.02,31.17
0.2,-0.01,0.96,1.36,-0.84,1.47,31.07
0.2,-0.02,0.96,3.08,-1.07,0.6,31.02
0.21,-0.01,0.95,1.98,-0.55,0.64,31.12
0.21,-0.01,0.97,-0.84,-0.12,0.5,31.07
0.21,-0.01,0.96,-0.78,0.5,0.78,31.12
0.21,-0.02,0.96,0.96,0.72,0.31,31.12
0.2,-0.03,0.96,1.73,-0.93,-0.09,31.17
0.2,-0.03,0.96,1.68,-1.95,-0.27,31.12
0.2,-0.02,0.98,2.34,-1.13,0.05,31.02
0.2,-0.02,0.96,3.31,0.95,0.11,31.17
0.22,0.01,0.98,-1.25,2.95,0.66,31.12
