acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.19,-0.13,0.95,2.75,0.93,1.5,31.12
0.18,-0.14,0.96,0.44,0.44,1.97,31.07
0.18,-0.13,0.95,-2.76,1.18,2.98,31.17
0.19,-0.12,0.97,-4.7,2.9,5.05,31.12
0.18,-0.12,0.95,-5.16,3.73,5.56,31.17
0.18,-0.13,0.95,-4.06,3.62,6.41,31.17
0.17,-0.15,0.93,-0.87,2.32,5.65,31.02
0.18,-0.15,0.94,1.59,1.59,4.82,31.21
0.18,-0.15,0.94,1.15,0.44,4.06,31.17
0.18,-0.15,0.95,2.34,0.15,4.52,31.21
0.18,-0.13,0.95,4.0,1.57,3.77,31.12
0.18,-0.12,0.96,4.34,0.66,2.99,31.17
0.19,-0.12,0.94,7.15,-0.49,2.58,31.12
0.18,-0.11,0.95,9.07,-0.72,1.47,31.12
0.2,-0.12,0.92,7.56,-0.12,-0.96,31.17
0.18,-0.14,0.94,3.47,-1.6,-0.93,31.21
0.17,-0.13,0.97,0.7,-0.85,1.69,31.21
0.18,-0.12,0.95,-0.53,1.86,3.3,31.17
0.18,-0.12,0.96,-0.93,2.26,3.02,31.12
0.18,-0.12,0.97,-2.05,1.28,2.81,31.12
0.19,-0.12,0.96,-0.55,0.89,1.89,31.21
0.18,-0.13,0.96,1.91,1.05,1.3,31.17
0.19,-0.14,0.95,0.89,0.99,0.41,31.12
0.18,-0.15,0.95,0.49,0.21,0.43,31.17
0.18,-0.15,0.96,-0.35,0.47,1.18,31.17
0.18,-0.14,0.95,0.02,0.67,1.89,31.21
0.18,-0.12,0.96,1.65,0.58,2.24,31.26
0.2,-0.11,0.95,2.02,0.18,3.16,31.17
0.18,-0.13,0.96,3.79,0.02,3.15,31.12
0.19,-0.12,0.95,3.57,0.46,2.69,31.12
0.18,-0.13,0.96,1.88,0.35,1.77,31.17
0.19,-0.12,0.95,-1.34,0.82,1.08,31.12
0.19,-0.13,0.96,-1.74,0.41,0.55,31.12
0.19,-0.13,0.97,1.11,-0.05,1.39,31.17
0.19,-0.13,0.98,4.98,0.37,2.53,31.12
0.18,-0.13,0.98,4.72,1.5,3.45,31.21
0.17,-0.14,0.97,2.9,1.98,3.91,31.17
0.18,-0.14,0.98,1.95,3.3,4.73,31.17
0.19,-0.14,0.96,1.65,5.19,6.44,31.21
0.18,-0.13,0.93,-0.11,4.69,4.55,31.17
0.18,-0.13,0.93,0.0,3.1,3.44,31.17
0.19,-0.13,0.92,0.23,1.45,2.47,31.12
0.18,-0.13,0.92,3.47,0.21,2.21,31.17
0.19,-0.12,0.93,7.36,-0.64,2.37,31.17
0.17,-0.13,0.93,8.79,-1.34,3.37,31.12
0.2,-0.11,0.93,6.93,-0.95,4.44,31.21
0.21,-0.1,0.93,3.92,0.58,5.21,31.26
0.21,-0.08,0.93,0.02,0.43,5.05,31.12
0.21,-0.09,0.94,1.08,-1.16,3.74,31.12
0.23,-0.08,0.93,4.05,-0.6,3.71,31.17
0.22,-0.11,0.94,8.27,-0.85,4.2,31.21
0.21,-0.14,0.91,14.56,-2.03,5.62,31.02
0.22,-0.15,0.92,17.91,-0.89,7.5,31.17
0.22,-0.15,0.92,18.85,0.41,9.59,31.12
0.31,-0.06,0.92,19.28,4.26,21.34,31.12
0.28,-0.04,0.92,31.82,5.45,16.11,31.17
0.39,-0.08,0.82,53.31,8.02,20.58,31.21
0.29,-0.07,0.81,21.34,10.41,3.54,31.12
0.29,-0.04,0.96,19.54,-0.02,7.85,31.12
0.34,-0.03,0.89,5.07,6.21,11.48,31.17
0.3,-0.04,0.95,6.79,9.89,6.32,31.21
0.29,-0.05,0.94,4.58,12.58,6.84,31.17
0.28,-0.04,0.94,-1.57,13.97,5.88,31.17
0.22,-0.04,0.99,7.8,15.69,9.02,31.12
0.29,-0.03,0.88,-8.9,22.34,0.66,31.17
0.29,-0.03,0.98,-3.51,19.65,0.72,31.17
0.27,-0.05,0.94,-2.7,22.24,1.62,31.12
0.24,-0.11,0.91,7.36,24.02,-1.25,31.17
0.25,-0.08,0.9,-9.47,26.98,-7.25,31.07
0.24,-0.07,0.93,-17.76,23.21,-6.26,31.12
0.22,-0.08,0.89,-22.02,25.4,-7.89,31.12
0.22,-0.08,0.93,-12.35,26.63,-7.92,31.17
0.24,-0.09,0.88,-9.62,24.17,-9.68,31.12
0.22,-0.11,0.87,-8.78,18.11,-10.93,31.31
0.25,-0.12,0.9,-4.82,16.09,-11.71,31.17
0.28,-0.14,0.89,0.21,18.4,-22.29,31.12
0.26,-0.21,0.85,5.91,17.59,-13.59,31.21
0.26,-0.16,0.91,-1.44,20.23,-13.82,31.17
0.27,-0.14,0.97,-13.94,17.79,-9.59,31.31
0.26,-0.13,0.95,-18.56,22.15,-8.9,31.12
0.26,-0.13,0.98,-11.48,26.14,-14.09,31.07
0.28,-0.2,0.85,9.57,28.44,-12.0,31.12
0.25,-0.14,0.87,4.76,24.99,-17.18,31.21
0.35,-0.07,0.89,13.08,11.45,-3.33,31.12
0.28,-0.13,0.9,-2.41,20.32,-22.53,31.07
0.29,-0.21,0.82,17.08,20.9,-19.86,31.02
0.27,-0.11,0.86,-0.52,22.64,-24.14,31.17
0.24,-0.07,1.0,-8.15,12.0,-22.26,31.26
0.24,-0.08,0.94,-19.73,13.63,-25.85,31.12
0.36,-0.06,0.96,-2.69,10.0,-16.61,31.17
0.25,-0.11,0.87,-12.12,20.15,-31.92,31.17
0.21,-0.14,0.89,-23.68,19.16,-42.43,31.12
0.22,-0.14,0.91,-31.63,7.04,-42.89,31.17
0.26,-0.13,0.86,-38.05,2.29,-50.84,31.07
0.25,-0.15,0.97,-39.36,-3.18,-52.85,31.21
0.25,-0.08,0.97,-55.08,-7.45,-50.34,31.21
0.25,-0.1,1.06,-46.47,1.48,-43.94,31.17
0.21,-0.14,1.05,-46.15,16.34,-51.1,31.21
0.2,-0.2,1.08,-24.96,19.85,-49.25,31.12
0.17,-0.26,0.99,-8.27,21.16,-48.05,31.17
0.15,-0.28,0.94,7.37,14.09,-49.98,31.21
0.14,-0.31,0.89,16.67,9.65,-50.43,31.12
0.1,-0.33,0.89,21.73,4.06,-48.81,31.17
0.09,-0.31,0.91,14.26,4.37,-47.74,31.12
0.13,-0.32,0.9,5.91,8.17,-34.27,31.12
0.07,-0.16,0.9,-22.98,14.92,-41.02,31.17
0.17,-0.08,0.95,-32.9,18.27,-43.73,31.17
0.15,-0.08,0.93,-34.75,26.6,-50.4,31.12
0.15,-0.13,0.95,-10.49,18.9,-61.51,31.12
0.15,-0.2,0.94,4.46,10.84,-71.13,31.17
0.14,-0.23,0.91,10.7,4.38,-77.11,31.12
0.11,-0.27,0.89,9.6,4.12,-76.11,31.07
0.11,-0.28,0.91,5.22,6.12,-70.27,31.17
0.07,-0.35,0.89,7.16,4.14,-73.65,31.12
0.07,-0.22,0.99,-10.92,5.95,-72.35,31.12
0.14,-0.24,1.01,2.7,9.95,-52.34,31.07
0.12,-0.15,0.94,-11.74,25.63,-61.89,31.12
0.11,-0.16,1.12,-19.48,29.98,-56.32,31.12
0.11,-0.16,1.05,-18.69,34.82,-67.62,31.17
0.07,-0.19,1.08,-16.87,35.73,-77.42,31.21
0.07,-0.26,1.01,3.39,30.34,-87.54,31.21
0.0,-0.31,1.02,5.65,33.63,-88.34,31.17
-0.03,-0.34,1.06,6.43,34.73,-90.5,31.21
0.01,-0.27,1.03,-1.74,45.77,-82.32,31.21
-0.0,-0.29,0.98,-15.15,54.35,-74.08,31.17
-0.03,-0.29,0.94,-18.66,57.11,-67.62,31.12
-0.07,-0.24,0.94,-1.5,49.95,-58.89,31.21
-0.01,-0.13,0.96,2.0,43.57,-65.5,31.17
-0.07,-0.13,1.02,14.7,40.95,-62.5,31.17
-0.06,-0.09,0.94,19.08,43.25,-64.2,31.12
-0.1,-0.09,0.93,22.34,45.44,-69.73,31.17
-0.17,-0.13,0.9,26.41,38.49,-65.25,31.17
-0.12,-0.13,0.87,30.15,33.65,-73.13,31.12
-0.23,-0.22,0.92,23.59,28.02,-73.4,31.12
-0.17,-0.21,0.9,23.82,24.34,-68.95,31.17
-0.11,-0.21,0.93,18.76,21.25,-54.34,31.21
-0.15,-0.24,0.88,-1.97,23.28,-65.65,31.07
-0.22,-0.23,0.95,-11.97,16.23,-60.6,31.17
-0.24,-0.23,0.92,-6.6,11.24,-57.27,31.12
-0.26,-0.21,0.9,0.02,8.67,-49.57,31.21
-0.21,-0.24,0.99,2.44,1.07,-53.71,31.17
-0.27,-0.24,1.01,-3.56,-6.43,-41.08,31.21
-0.16,-0.19,0.91,-10.08,-6.44,-47.77,31.12
-0.36,-0.28,0.97,-17.22,-9.74,-39.44,31.07
-0.17,-0.17,0.98,-16.06,-16.87,-38.55,31.12
-0.21,-0.21,0.97,-14.7,-15.45,-38.63,31.12
-0.18,-0.18,0.94,-9.28,-15.27,-28.0,31.26
-0.23,-0.3,1.02,-0.92,-17.02,-7.24,31.12
-0.17,-0.22,0.96,2.99,-16.27,-8.61,31.12
