acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.23,0.08,0.94,-4.2,0.81,0.26,31.35
0.22,0.08,0.95,-6.06,0.7,0.52,31.35
0.23,0.06,0.98,-0.9,0.75,1.71,31.31
0.23,0.04,0.96,1.68,1.27,-0.66,31.31
0.22,0.05,0.97,1.5,0.2,-1.91,31.35
0.21,0.04,0.95,-2.2,0.03,-2.38,31.31
0.22,0.07,0.94,-5.4,1.36,0.44,31.35
0.21,0.06,0.98,-2.98,2.24,2.58,31.26
0.22,0.04,0.96,-0.92,3.22,1.11,31.31
0.2,0.04,0.95,0.66,2.05,0.47,31.35
0.21,0.05,0.93,0.63,0.37,-0.47,31.35
0.22,0.07,0.95,-1.56,-1.24,-0.99,31.4
0.21,0.07,0.97,-1.76,-1.3,0.61,31.35
0.21,0.05,0.96,1.01,0.32,1.44,31.35
0.21,0.04,0.95,2.73,1.5,1.02,31.31
0.21,0.04,0.93,1.86,0.81,0.02,31.31
0.22,0.06,0.93,0.64,-0.32,1.47,31.35
0.22,0.06,0.94,0.29,-0.75,2.34,31.4
0.22,0.05,0.96,1.28,0.06,0.72,31.35
0.24,0.06,0.97,1.95,0.5,-0.78,31.26
0.23,0.05,0.95,-0.55,0.79,-0.67,31.31
0.22,0.06,0.97,-3.31,0.78,2.26,31.35
0.22,0.04,0.95,-4.92,2.02,1.42,31.26
0.22,0.04,0.94,-3.83,2.5,0.29,31.31
0.22,0.06,0.93,-2.58,1.02,-0.53,31.35
0.22,0.06,0.93,-3.01,-1.25,-1.05,31.35
0.22,0.07,0.94,-4.49,-2.08,0.12,31.31
0.22,0.06,0.96,-0.84,-0.44,1.53,31.31
0.22,0.05,0.94,1.74,2.79,1.54,31.31
0.22,0.05,0.94,1.66,2.52,0.37,31.31
0.23,0.06,0.92,-2.92,1.04,1.54,31.35
0.22,0.06,0.92,-6.27,0.53,0.76,31.31
0.22,0.05,0.93,-7.39,0.41,0.26,31.4
0.22,0.05,0.94,-8.44,0.35,-0.76,31.35
0.22,0.05,0.95,-6.73,-0.61,-0.43,31.4
