acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.37,0.2,0.89,3.71,1.82,1.66,30.55
0.35,0.19,0.89,1.97,0.15,-0.69,30.55
0.35,0.18,0.89,-2.7,0.06,-1.83,30.6
0.35,0.18,0.9,-3.59,1.1,-0.55,30.55
0.35,0.19,0.91,-2.15,2.55,2.53,30.65
0.34,0.18,0.91,-0.69,2.2,3.3,30.65
0.34,0.18,0.9,-0.55,2.15,2.37,30.51
0.35,0.19,0.9,2.73,1.08,2.23,30.55
0.35,0.18,0.89,3.37,0.6,1.89,30.51
0.34,0.18,0.88,2.43,-0.73,0.7,30.6
0.34,0.18,0.89,-0.38,-1.28,1.02,30.55
0.36,0.19,0.89,0.15,-1.31,1.77,30.65
0.36,0.19,0.9,-2.69,-0.64,2.02,30.6
0.36,0.19,0.9,-2.89,-0.24,1.07,30.6
0.37,0.2,0.89,-1.86,-0.06,0.9,30.55
0.36,0.18,0.9,1.05,-1.37,0.27,30.6
0.37,0.18,0.91,3.13,-2.2,-0.7,30.6
0.36,0.17,0.9,1.86,-2.69,-0.82,30.55
0.36,0.17,0.92,1.37,-1.5,-0.18,30.55
0.37,0.16,0.92,0.21,-0.08,1.11,30.6
0.36,0.15,0.91,-0.58,0.79,2.64,30.55
0.37,0.18,0.92,-1.04,1.53,4.63,30.55
0.39,0.2,0.89,-2.95,2.55,4.79,30.6
0.38,0.19,0.89,-3.63,3.05,3.48,30.46
0.37,0.19,0.88,-5.16,0.6,0.75,30.65
0.36,0.18,0.9,-0.72,-1.68,0.87,30.51
0.35,0.17,0.9,3.11,-2.38,0.31,30.51
0.36,0.16,0.92,4.49,-1.15,2.2,30.55
0.36,0.16,0.9,1.57,0.11,2.75,30.6
0.37,0.17,0.9,-1.91,1.36,2.21,30.51
0.37,0.18,0.91,-1.85,2.11,1.57,30.55
0.37,0.18,0.89,-0.98,1.77,-0.63,30.55
0.36,0.18,0.89,-0.7,-0.14,-1.5,30.51
0.36,0.17,0.89,0.75,-1.54,-1.97,30.55
0.35,0.17,0.89,1.48,-0.87,0.47,30.55
0.35,0.17,0.9,0.35,0.09,1.22,30.51
0.36,0.16,0.9,-1.5,0.67,2.5,30.6
0.35,0.18,0.91,0.67,1.04,4.09,30.65
0.36,0.18,0.9,4.17,0.87,3.3,30.6
0.36,0.19,0.9,4.34,-0.11,1.37,30.51
0.37,0.18,0.9,3.39,-1.18,1.31,30.55
0.37,0.19,0.89,2.85,-1.1,1.56,30.65
0.37,0.18,0.9,3.02,-0.23,1.77,30.6
0.38,0.19,0.9,2.03,-0.17,0.66,30.65
0.37,0.18,0.9,-0.7,-0.11,-1.01,30.55
0.36,0.18,0.9,-0.44,0.34,-0.09,30.51
0.35,0.18,0.86,-0.84,1.39,0.49,30.65
0.36,0.18,0.88,-2.6,1.51,1.51,30.55
0.37,0.19,0.89,-3.44,2.14,2.67,30.6
0.35,0.19,0.86,-1.53,1.25,2.0,30.6
0.35,0.2,0.89,0.29,0.56,3.25,30.55
0.36,0.2,0.87,1.5,0.56,2.15,30.6
0.36,0.19,0.88,2.66,1.08,1.71,30.6
0.36,0.18,0.89,2.93,1.25,2.05,30.55
0.35,0.16,0.88,3.34,1.08,3.88,30.46
0.33,0.13,0.88,2.46,1.91,7.51,30.6
0.33,0.11,0.9,-0.23,4.31,13.5,30.55
0.33,0.1,0.91,-3.57,8.81,21.97,30.65
0.35,0.12,0.91,-9.07,14.21,28.18,30.55
0.38,0.14,0.89,-15.8,17.57,30.29,30.51
0.41,0.21,0.9,-19.92,18.76,28.67,30.55
0.37,0.19,0.92,-12.08,18.37,27.57,30.6
0.39,0.2,0.87,-4.64,17.15,23.77,30.6
0.38,0.21,0.87,-1.86,14.7,19.22,30.55
0.38,0.2,0.87,2.24,13.4,16.72,30.55
0.36,0.2,0.84,1.59,10.56,14.79,30.6
0.37,0.22,0.84,-0.58,7.45,11.31,30.65
0.37,0.24,0.86,-1.44,4.75,8.34,30.55
0.37,0.24,0.87,-0.56,2.15,4.72,30.6
0.39,0.25,0.9,-0.53,1.18,0.26,30.51
0.39,0.26,0.89,-0.03,0.72,-3.11,30.55
0.37,0.23,0.88,-0.67,-0.12,-7.22,30.55
0.36,0.19,0.9,-1.27,-1.79,-8.78,30.6
